爸爸开门，妈妈回家。我说：“我爱我的家。”|谁回家了？|妈妈。
小小的我向家人招手：“你好，来我家玩！”|小朋友在邀请大家做什么？|来家里玩。
小猫喝水，小狗吃饭。吃好喝好，再一起玩。|谁在喝水？|小猫。
我看小鱼，小鱼在水里；我看小鸟，小鸟在树上。|小鱼在哪里？|在水里。
日光照小山，月光照小山。山上的小木屋，是我的家。|白天和晚上，什么照着小山？|白天有日光，晚上有月光。
大树上有小鸟，大树下有花草。小猫在草里。|花草在树上还是树下？|树下。
二月的一天，我数手指：一、二、三、四、五。|数到五，一共数了几根手指？|五根。
五个小朋友又来了五个。我们接着数：六、七、八、九、十。|最后数到了几？|十。
我点点头，张张口，举起小手。耳朵听，目光看向妈妈。|用什么听妈妈说话？|耳朵。
洗洗小脸，看看眼和鼻。刷牙时，别忘了轻轻清洁舌头。|刷牙要清洁哪里？|牙齿，也可以轻轻清洁舌头。
小脚走一走，身体动一动。我用力踢足球，心里真开心。|小朋友用什么踢球？|脚。
太阳出来了，天上有白云。一会儿云变多，下起了雨。|天气后来有什么变化？|下雨了。
风吹树叶，树叶落到土上。我捡起一片，放在石头旁。|树叶落到了哪里？|土上。
红花、黄花、蓝花、白花，长在绿草旁。|草是什么颜色？|绿色。
穿上衣裤和鞋袜，再戴好帽子。我准备出门了。|小朋友做好准备要去做什么？|出门。
碗里有米饭，盘里有青菜，还有面条和水果。|句子里说了哪种蔬菜？|青菜。
我坐下穿鞋，再站起来。去公园的路上慢慢走，到草地再跑。|去公园的路上怎么走？|慢慢走。
我是小帮手，我和你一起收书。收好了，也不乱放玩具。|两个人一起做了什么？|收书。
他来了，她也来了。它是一只小猫，我们给它留了一个位置。|“它”说的是谁？|小猫。
这是什么？那是谁的？我先问清楚，再拿来玩。|拿东西前可以先做什么？|问清楚是什么、是谁的。
幼儿园里，老师和同学一起看书。我们学习，也一起玩。|谁和同学一起看书？|老师。
我和妈妈参观学校。教室里有桌子，门上写着班级。|在哪里能看到班级？|教室门上。
我把书和本子放进书包，把笔收好，再把椅子推回去。|哪些东西放进了书包？|书和本子。
我读一句，你听一句；我说故事，你画小鸟。写字可以以后慢慢学。|听故事的人画了什么？|小鸟。
老师叫我的名字，我回答：“我在！”想讲自己的话，可以先问一声。|被叫到名字时，小朋友怎样回答？|我在。
玩球时先拍一拍，再轻轻踢。球跳起来，大家笑了。|球是怎样动起来的？|先拍，再踢，球跳起来。
朋友想玩球，我说：“给你。你玩一会儿，我等一等。”|小朋友怎样和朋友轮流玩？|先给朋友玩，自己等一等。
客人来了，我说：“您好，请坐。”收到帮助，我说：“谢谢您。”|收到帮助可以说什么？|谢谢您。
早上醒来，我向家人问好。中午休息，晚上按时睡觉。|小朋友晚上做什么？|按时睡觉。
洗手后找毛巾，架上没有。妈妈拿来干净毛巾，我再去刷牙。|为什么妈妈拿来了毛巾？|架上没有毛巾。
衣服脏了要换，洗净后湿湿的。晒干了，穿着才舒服。|洗好的衣服为什么要晒？|因为还是湿的，要晒干。
浴室里洗完澡，我对着镜子梳头，再把脸盆放好。|小朋友在哪里梳头？|镜子前。
男孩和女孩都要学会看厕所标识。方便后，用好纸，再洗手。|方便后还要做什么？|用好纸，再洗手。
饭碗和盘子放好了，筷子和勺子在旁边。杯里有温水。|杯里装的是什么？|温水。
小床上有被子和枕头。窗外天黑了，妈妈关小台灯，陪我休息。|为什么准备休息了？|天已经黑了。
我找到小书，拿来放好；再收起玩具，带上水杯。|出门前带上了什么？|水杯。
我在队伍中间，前后都有朋友。左边是树，右边是花。|小朋友在队伍的哪里？|中间。
玩滑梯先排队。这次你先，下次再轮到我。|这次谁先玩？|对方先玩。
危险的东西不要碰。身体痛了或生病了，要告诉照顾我的大人。|身体不舒服时怎么办？|告诉照顾自己的大人。
我着急地说：“请帮忙！”妈妈听我告诉她发生的事，用爱陪着我。|着急时，小朋友做了什么？|说出需要帮助，并告诉妈妈发生的事。
农场里，小牛吃草，小羊走来，小马跑过，小猪旁边有小鸡。|谁在吃草？|小牛。
池塘里有鸭和鹅，岸边有兔子。青蛙跳过，小虫躲进草里。|青蛙做了什么？|跳过。
蚂蚁排着队，蜜蜂飞向花。蝴蝶落在另一朵花上。|蜜蜂飞向哪里？|花。
蜻蜓飞过池塘，蝉在树上叫。纱窗挡住蚊子和苍蝇。|纱窗挡住了什么？|蚊子和苍蝇。
图画里有老虎、狮子、大象、小熊和小鹿。我指给妈妈看。|这些动物在哪里？|图画里。
故事里，猴子碰见狐狸，灰狼找老鼠，松鼠正在树上吃东西。|谁在树上？|松鼠。
图书里，小虾和螃蟹躲在石边，乌龟游过去，远处有水蛇和鳄鱼。|小虾和螃蟹躲在哪里？|石边。
海里有鲸、海豚和鲨鱼，海边有贝壳。我们在书里找它们。|贝壳在哪里？|海边。
鸟有翅膀和羽毛，猫有尾巴和爪子，牛头上有角。|牛头上有什么？|角。
我种下一粒种子。后来长出小芽和根，再长成有枝叶的小苗。|种子后来发生了什么？|发芽、生根，慢慢长成小苗。
花册里有桃花、梅花、杏花和兰花。翻一页，池里还有荷花。|荷花长在哪里？|池里。
竹子旁是一片树林。我们在森林图里找到枫树和杨树。|找到了哪两种树？|枫树和杨树。
地图上有江、河和湖。公园里有水池，山边有泉水。|公园里有什么？|水池。
黑夜里，天空有星星。早上阳光来了，屋里亮起来。|早上屋里为什么亮了？|阳光来了。
下雪了，天气冷。水结成冰，路面冻得很滑，我们和大人慢慢走。|为什么要慢慢走？|路面结冰，很滑。
晴天里暖暖的，中午有点热。后来转阴，还响起了雷声。|天气后来怎样了？|转阴，响起雷声。
春天开花，夏天树绿，秋天叶落，冬天下雪。四季各有好看的景色。|哪个季节叶子落下？|秋天。
照片里有山雾、露水和白霜。另一张照片里，彩虹映着晚霞。|另一张照片里看到了什么？|彩虹和晚霞。
山坡上有岩石，坡下有泥和沙。我们在故事里听山洞的回声。|回声出现在什么地方？|山洞。
小苗慢慢长大，开出花。花落了，我们仍然爱护它的生命。|花落后还要不要照顾小苗？|要，仍然爱护它。
我和爸爸沿着街道走，过小桥，来到路边的书店。|过桥后去了哪里？|路边的书店。
交通灯前，汽车停下来。我拉着大人的手，等可以通行再走。|小朋友和谁一起过路？|大人。
我和妈妈看好来车，沿人行横道过街。脚步落在斑马线上。|从哪里过街？|人行横道，也叫斑马线。
